1  1  1  1  4.78506540
1  1  1  2  0.74138035
1  1  1  6  0.12178550
1  1  1  7  0.12178550
1  1  2  1  0.74138035
1  1  2  2  1.11894687
1  1  2  6  0.31333443
1  1  2  7  0.31333443
1  1  3  3  1.11581381
1  1  4  4  1.11581381
1  1  5  5  1.11581381
1  1  4  6  0.18353872
1  1  5  6  0.14339616
1  1  4  7  -0.18353872
1  1  5  7  0.14339616
1  1  6  1  0.12178550
1  1  6  2  0.31333443
1  1  6  4  0.18353872
1  1  6  5  0.14339616
1  1  6  6  0.47072353
1  1  6  7  0.10586461
1  1  7  1  0.12178550
1  1  7  2  0.31333443
1  1  7  4  -0.18353872
1  1  7  5  0.14339616
1  1  7  6  0.10586461
1  1  7  7  0.47072353
1  2  1  1  0.74138035
1  2  1  2  0.13687339
1  2  1  6  0.02230926
1  2  1  7  0.02230926
1  2  2  1  0.13687339
1  2  2  2  0.25663339
1  2  2  6  0.07284018
1  2  2  7  0.07284018
1  2  3  3  0.25668399
1  2  4  4  0.25668399
1  2  5  5  0.25668399
1  2  4  6  0.04319777
1  2  5  6  0.03374980
1  2  4  7  -0.04319777
1  2  5  7  0.03374980
1  2  6  1  0.02230926
1  2  6  2  0.07284018
1  2  6  4  0.04319777
1  2  6  5  0.03374980
1  2  6  6  0.11119185
1  2  6  7  0.02484765
1  2  7  1  0.02230926
1  2  7  2  0.07284018
1  2  7  4  -0.04319777
1  2  7  5  0.03374980
1  2  7  6  0.02484765
1  2  7  7  0.11119185
1  3  1  3  0.02447741
1  4  1  4  0.02447741
1  5  1  5  0.02447741
1  4  1  6  0.00080739
1  5  1  6  0.00063080
1  4  1  7  -0.00080739
1  5  1  7  0.00063080
1  3  2  3  0.03780861
1  4  2  4  0.03780861
1  5  2  5  0.03780861
1  4  2  6  0.00431717
1  5  2  6  0.00337294
1  4  2  7  -0.00431717
1  5  2  7  0.00337294
1  3  3  1  0.02447741
1  4  4  1  0.02447741
1  5  5  1  0.02447741
1  3  3  2  0.03780861
1  4  4  2  0.03780861
1  5  5  2  0.03780861
1  3  3  6  0.00741134
1  4  4  6  0.00964474
1  4  5  6  0.00174492
1  5  4  6  0.00174492
1  5  5  6  0.00877462
1  3  3  7  0.00741134
1  4  4  7  0.00964474
1  4  5  7  -0.00174492
1  5  4  7  -0.00174492
1  5  5  7  0.00877462
1  4  6  1  0.00080739
1  5  6  1  0.00063080
1  4  6  2  0.00431717
1  5  6  2  0.00337294
1  3  6  3  0.00741134
